Year,Province,RandomCropYield
2000,Ha_Noi,9.41032228134953
2001,Ha_Noi,4.82039942436338
2002,Ha_Noi,6.643011840919193
2003,Ha_Noi,3.077053050916902
2004,Ha_Noi,3.4379964604739612
2005,Ha_Noi,1.547747903119209
2006,Ha_Noi,1.34413029178382
2007,Ha_Noi,-2.452275943170939
2008,Ha_Noi,3.5245524941081925
2009,Ha_Noi,1.5350486376262253
2010,Ha_Noi,0.501290893104759
2011,Ha_Noi,4.892644382785889
2012,Ha_Noi,2.8185005764309707
2013,Ha_Noi,-0.5451302322305622
2014,Ha_Noi,0.8740754438893532
2015,Ha_Noi,0.7740761918007877
2016,Ha_Noi,-1.8970749497554564
2017,Ha_Noi,-2.191270014276597
2018,Ha_Noi,0.17717581063597265
2019,Ha_Noi,-0.5392342077797352
2020,Ha_Noi,2.088971831925612
2000,Hai_Duong,5.285957817694957
2001,Hai_Duong,2.170584015215084
2002,Hai_Duong,3.9314293035310968
2003,Hai_Duong,3.180420825029856
2004,Hai_Duong,2.2769231086988455
2005,Hai_Duong,0.8772938091667939
2006,Hai_Duong,1.218700407466045
2007,Hai_Duong,0.03419246747063198
2008,Hai_Duong,1.1280645675783632
2009,Hai_Duong,2.142520337447742
2010,Hai_Duong,0.2503311306739704
2011,Hai_Duong,2.2154344806681507
2012,Hai_Duong,1.8596452212637615
2013,Hai_Duong,-1.9557493595457132
2014,Hai_Duong,-1.1285715343751264
2015,Hai_Duong,0.07262927933734176
2016,Hai_Duong,-0.0280040216328743
2017,Hai_Duong,-4.490465521310675
2018,Hai_Duong,1.4480545400384557
2019,Hai_Duong,0.20314586826297898
2020,Hai_Duong,1.3873742407608063
2000,Hung_Yen,8.559822276569896
2001,Hung_Yen,3.2527448133769354
2002,Hung_Yen,4.546045709359838
2003,Hung_Yen,3.5700581365148025
2004,Hung_Yen,2.078436340755637
2005,Hung_Yen,1.9465317646968643
2006,Hung_Yen,1.7316734840764028
2007,Hung_Yen,-0.719534265614179
2008,Hung_Yen,2.241032484832914
2009,Hung_Yen,1.318692904090959
2010,Hung_Yen,1.054841991612335
2011,Hung_Yen,2.4688855751474534
2012,Hung_Yen,1.9583814243714883
2013,Hung_Yen,-1.3467273280761276
2014,Hung_Yen,-1.3294385549217012
2015,Hung_Yen,-1.2534395813043915
2016,Hung_Yen,-1.3594996031538926
2017,Hung_Yen,-3.063721915928845
2018,Hung_Yen,1.0684516996269409
2019,Hung_Yen,2.4873999301486265
2020,Hung_Yen,0.8810395152602339
2000,Nam_Dinh,4.3370184643273575
2001,Nam_Dinh,2.9727209220930533
2002,Nam_Dinh,2.352875754615063
2003,Nam_Dinh,-0.5545087465613321
2004,Nam_Dinh,2.590943374004155
2005,Nam_Dinh,-9.782725766440798
2006,Nam_Dinh,3.814920055848603
2007,Nam_Dinh,1.459679836856047
2008,Nam_Dinh,0.6633535241050907
2009,Nam_Dinh,-1.9575997557438995
2010,Nam_Dinh,2.906361325648838
2011,Nam_Dinh,-0.2420086901987588
2012,Nam_Dinh,0.8071542680551076
2013,Nam_Dinh,0.31738538111735437
2014,Nam_Dinh,1.942738628267854
2015,Nam_Dinh,1.0815450538913183
2016,Nam_Dinh,0.7580709123854064
2017,Nam_Dinh,-4.223980418063945
2018,Nam_Dinh,0.5591581183664971
2019,Nam_Dinh,1.0254824478698978
2020,Nam_Dinh,1.3693044543361168
2000,Ninh_Binh,5.665187710414479
2001,Ninh_Binh,4.8111825432759545
2002,Ninh_Binh,4.769175045333739
2003,Ninh_Binh,-0.04335979518626232
2004,Ninh_Binh,3.781626625388377
2005,Ninh_Binh,-4.104029920565054
2006,Ninh_Binh,4.94299681101279
2007,Ninh_Binh,0.9182682991475772
2008,Ninh_Binh,3.235333265404506
2009,Ninh_Binh,4.07933191001392
2010,Ninh_Binh,3.804318667269172
2011,Ninh_Binh,2.265850173153943
2012,Ninh_Binh,1.8511718761824127
2013,Ninh_Binh,-2.5904631959133724
2014,Ninh_Binh,0.8046019467494006
2015,Ninh_Binh,0.37955758507129644
2016,Ninh_Binh,-0.1080054768309111
2017,Ninh_Binh,-3.164157730603513
2018,Ninh_Binh,1.9005029892296292
2019,Ninh_Binh,1.9598014291408745
2020,Ninh_Binh,2.1506295420082324
